date,rent,home_price,year,median_household_income,HPI,rent_burden,rent_yoy,price_yoy,HPI_yoy
2015-01-31,2442.26147831462,757953.0799069308,2015,102340.0,7.4062251310038185,0.28637031209473757,,,
2015-02-28,2451.852474993081,767196.5609018612,2015,102340.0,7.496546422726804,0.2874949159655753,,,
2015-03-31,2471.268835276121,772689.8071919791,2015,102340.0,7.550222857064482,0.2897716046835397,,,
2015-04-30,2507.2083621010743,775291.4153936888,2015,102340.0,7.5756440824085285,0.2939857372016112,,,
2015-05-31,2565.0921543978816,777993.1766004516,2015,102340.0,7.602043937858624,0.30077297100620065,,,
2015-06-30,2616.1373339838415,782690.5167908202,2015,102340.0,7.6479432948096555,0.30675833503816785,,,
2015-07-31,2653.7227318197065,791663.4382374454,2015,102340.0,7.735620854381917,0.3111654561445816,,,
2015-08-31,2666.038858415251,803528.8010201039,2015,102340.0,7.851561471761812,0.3126095984071039,,,
2015-09-30,2657.457245955456,818837.2078174668,2015,102340.0,8.00114527865416,0.31160335109893955,,,
2015-10-31,2655.2635300282996,833893.1722464008,2015,102340.0,8.148262382708626,0.3113461242948954,,,
2015-11-30,2642.413195784875,846606.5049675897,2015,102340.0,8.272488811487099,0.3098393428710035,,,
2015-12-31,2642.5483222665853,856865.9545465935,2015,102340.0,8.372737488241093,0.30985518728941785,,,
2016-01-31,2639.6793705513537,866369.0794211918,2016,111069.0,7.800278020160367,0.28519346034101545,0.08083405236894192,0.14303787713030136,0.05320563204418005
2016-02-29,2653.456059621913,875549.8375322921,2016,111069.0,7.882936170599287,0.28668190688187484,0.08222500606583227,0.1412327454949207,0.05154236712269111
2016-03-31,2667.84299095358,879502.2000978724,2016,111069.0,7.918520920309649,0.28823628457484046,0.07954381687312262,0.13823450485785327,0.04877976057363176
2016-04-30,2672.723642155576,878574.9571253877,2016,111069.0,7.910172569532342,0.2887635947552144,0.0660157658040823,0.1332189931179002,0.04415842184305174
2016-05-31,2703.8901622485987,873689.1472817925,2016,111069.0,7.866183609123991,0.292130855116938,0.05411033970563062,0.12300361180479458,0.034745875375691515
2016-06-30,2723.270729546677,868636.6496624486,2016,111069.0,7.820693889946327,0.29422474997128023,0.040950983027979504,0.10980857826669976,0.022587849893435985
2016-07-31,2740.039571662256,860414.2961077006,2016,111069.0,7.746664650871986,0.2960364715622458,0.03252669874194458,0.08684354303808894,0.0014276548318437055
2016-08-31,2712.0940297814955,849567.0286447929,2016,111069.0,7.649002229648172,0.2930172087385134,0.017274756225278853,0.05729505596593687,-0.02579859341891999
2016-09-30,2688.3179846427433,838001.5017919196,2016,111069.0,7.544873023002994,0.2904484222934655,0.011612882477886055,0.02340427839806325,-0.05702586814270594
2016-10-31,2656.555140842882,830745.3279041722,2016,111069.0,7.479542697820024,0.28701673455342697,0.0004864341335522049,-0.0037748772228806127,-0.08206899256308775
2016-11-30,2644.203034364793,827825.9931120062,2016,111069.0,7.453258723064097,0.28568220126567734,0.0006773500006633792,-0.022183283196368198,-0.09903066744380806
2016-12-31,2638.2850182997954,829011.2164504208,2016,111069.0,7.463929777439437,0.2850428132025817,-0.001613330560832682,-0.03250769615524274,-0.10854367667420739
2017-01-31,2657.6848408756973,836294.1748395637,2017,119035.0,7.0256157839254305,0.26792303180164123,0.006821082334928619,-0.0347137326296556,-0.09931213146925888
2017-02-28,2676.8660795405667,849321.0042034006,2017,119035.0,7.135052750900161,0.26985670562848574,0.00882246375769613,-0.029956984976225454,-0.09487371247384713
2017-03-31,2707.2493322700743,865118.8504467686,2017,119035.0,7.267768727237943,0.27291966217701424,0.014770862247185379,-0.01635396665238953,-0.08218102845477593
2017-04-30,2726.672661825229,878545.1491877871,2017,119035.0,7.380561592706238,0.2748777413525665,0.020185034778284372,-3.3927597593019776e-05,-0.06695315079041508
2017-05-31,2758.8829449280297,888475.643847423,2017,119035.0,7.4639865908969885,0.2781248820862465,0.020338393714076863,0.016924207667720292,-0.0511298792670557
2017-06-30,2782.745272805538,897766.3307097143,2017,119035.0,7.542036633844788,0.2805304597275294,0.021839379615687937,0.033534943590724176,-0.0356307586031156
2017-07-31,2799.546247340005,899976.5734637982,2017,119035.0,7.5606046411878705,0.282224177494687,0.021717451197848403,0.045980497459267466,-0.024018079789109192
2017-08-31,2799.711261637902,897242.687249893,2017,119035.0,7.537637562480724,0.28224081269924667,0.03230611877548584,0.05611759519569759,-0.014559371774764185
2017-09-30,2791.067429564248,892381.6536356155,2017,119035.0,7.496800551397619,0.28136942205881443,0.03822071849701936,0.06489266633462276,-0.0063715415035894285
2017-10-31,2778.029193091326,894234.0962962558,2017,119035.0,7.5123627193367986,0.2800550284966263,0.04572615504224098,0.07642386452206096,0.004387971677244362
2017-11-30,2767.6839928094564,899006.50295219,2017,119035.0,7.552455185048011,0.2790121217600998,0.04669874319024325,0.08598486932332028,0.013309139756137789
2017-12-31,2760.8905465912176,908281.8670319348,2017,119035.0,7.630376502977568,0.2783272697869921,0.04647167665396279,0.09562072141909894,0.022300146236803542
2018-01-31,2769.488474750304,927152.7480083246,2018,126606.0,7.323134353887846,0.2624983152220562,0.042068055683294414,0.10864427363276974,0.04234768582750226
2018-02-28,2792.715657185308,960966.572883361,2018,126606.0,7.590213519764948,0.26469983955123527,0.04327806255613087,0.13145273474624086,0.06379220795632712
2018-03-31,2818.4310424462356,1002778.0180565384,2018,126606.0,7.920462048058847,0.2671372013123772,0.041068145756243846,0.15912168315218111,0.08980656172708934
2018-04-30,2844.387337855892,1046337.490621798,2018,126606.0,8.26451740535044,0.2695973970765264,0.043171546654179105,0.19098886561394646,0.11976809644373976
2018-05-31,2857.8655095108543,1084068.6102374557,2018,126606.0,8.562537401366884,0.27087488834755263,0.03587776885017746,0.22014443248330795,0.14718016934940348
2018-06-30,2877.217088070331,1111711.6557663206,2018,126606.0,8.780876544289534,0.27270907426854946,0.03394914230491075,0.23830847486503015,0.16425800756329778
2018-07-31,2889.684234736523,1130374.5321398338,2018,126606.0,8.928285643175156,0.27389073832865957,0.03219735608303065,0.2560043955247502,0.18089571759070378
2018-08-31,2897.830892076516,1144033.138558253,2018,126606.0,9.036168416648918,0.2746628967420043,0.035046339164707785,0.275054291124722,0.19880643527187702
2018-09-30,2886.625494429271,1156629.5361554762,2018,126606.0,9.135661312698263,0.2736008240774628,0.03423710364458721,0.2961153240245351,0.21860802485869968
2018-10-31,2866.2232243967433,1166240.1165169685,2018,126606.0,9.211570672140091,0.27166705126740376,0.03174697786644831,0.3041776435804773,0.2261882201759955
2018-11-30,2856.500443731951,1170657.7821747705,2018,126606.0,9.246463691884827,0.27074550435827216,0.03209053170565812,0.3021683139449183,0.22429904783685872
2018-12-31,2855.419367415941,1169694.279610535,2018,126606.0,9.238853447787111,0.2706430375257989,0.034238525298090794,0.2878097890832483,0.21079915836156626
2019-01-31,2863.7580011486457,1159859.1590218097,2019,133076.0,8.715765119343907,0.2582366167737514,0.03403860577785611,0.250990369724273,0.1901686761648329
2019-02-28,2869.071363876038,1142302.5930479364,2019,133076.0,8.583836251825547,0.258715744135024,0.027341024315983065,0.18870169398346537,0.1309084032317669
2019-03-31,2885.0633040920466,1121182.5482166966,2019,133076.0,8.425129611775953,0.26015780192600135,0.023641615012861328,0.11807651147921594,0.06371693477665108
2019-04-30,2904.826483511963,1101701.401659106,2019,133076.0,8.278738477705266,0.26193992757629897,0.02124856374224704,0.05291209722821577,0.001720738387654519
